Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
34,female,2,own,no_account,little,9799,24,radio/TV,bad
35,male,1,own,little,little,486,12,education,good
38,male,2,own,no_account,little,8927,27,repairs,good
18,male,2,rent,little,little,6158,6,car,good
18,female,0,rent,no_account,little,9623,12,car,good
19,male,2,own,little,no_account,1535,12,radio/TV,good
18,male,1,rent,little,little,2865,12,furniture/equipment,good
21,male,2,rent,little,moderate,3567,36,radio/TV,bad
23,female,1,own,no_account,moderate,1273,12,radio/TV,bad
18,male,3,own,little,no_account,6218,30,car,bad
25,female,1,own,quite rich,little,6000,12,education,good
28,male,3,own,no_account,no_account,5568,18,car,good
18,female,1,own,little,moderate,5755,12,radio/TV,good
42,male,3,own,no_account,no_account,11515,12,radio/TV,bad
18,female,3,rent,no_account,moderate,9099,24,car,good
40,male,2,own,little,no_account,7741,27,business,bad
32,male,2,own,no_account,no_account,4026,18,business,good
18,female,2,rent,little,little,2073,15,furniture/equipment,good
18,male,2,own,little,no_account,1579,8,business,good
18,female,2,rent,little,little,2296,24,car,bad
34,female,1,own,little,no_account,1194,8,radio/TV,good
18,female,2,own,little,moderate,3562,18,radio/TV,good
32,female,2,own,little,little,6830,36,radio/TV,bad
37,male,1,own,little,no_account,1917,18,domestic appliances,bad
37,male,2,free,moderate,little,19315,36,education,bad
18,male,2,own,little,no_account,3526,24,radio/TV,good
30,male,0,free,no_account,little,9068,48,vacation/others,good
18,male,2,own,no_account,moderate,4969,24,furniture/equipment,bad
25,male,2,own,no_account,little,4545,15,radio/TV,good
51,male,2,own,rich,rich,2523,15,repairs,bad
26,male,3,rent,moderate,moderate,13535,24,business,good
18,male,2,own,little,no_account,2135,9,business,good
33,male,1,own,little,no_account,11223,24,car,good
18,male,2,own,little,no_account,8595,36,radio/TV,good
18,female,2,rent,little,moderate,4365,27,car,bad
26,male,2,rent,little,little,4984,9,car,good
20,female,2,own,little,no_account,12865,36,car,good
18,female,2,rent,no_account,little,1650,18,radio/TV,good
18,female,1,own,little,no_account,5348,15,furniture/equipment,good
39,male,1,own,no_account,little,2462,18,radio/TV,good
22,male,2,own,rich,no_account,4718,21,furniture/equipment,good
18,male,2,own,little,no_account,6495,18,car,good
25,male,2,own,little,no_account,3847,7,radio/TV,good
38,male,2,own,little,no_account,1771,12,car,bad
29,male,2,own,quite rich,no_account,3721,36,radio/TV,good
25,female,2,own,little,no_account,3988,24,radio/TV,bad
22,male,2,own,quite rich,no_account,5180,6,furniture/equipment,good
19,female,1,rent,quite rich,no_account,1837,12,furniture/equipment,bad
45,male,2,own,little,moderate,11742,24,furniture/equipment,bad
24,female,2,own,little,little,2405,12,radio/TV,good
46,female,2,own,little,little,2532,6,education,good
50,female,3,free,moderate,little,25144,60,vacation/others,bad
31,male,2,rent,little,no_account,2054,12,car,good
34,male,2,own,moderate,little,2794,12,car,good
26,male,2,own,little,no_account,1348,18,car,bad
18,male,2,own,quite rich,no_account,3115,6,car,good
18,male,2,rent,moderate,little,5566,9,car,good
18,male,2,rent,rich,moderate,6194,15,car,good
18,female,2,own,little,no_account,3271,18,radio/TV,good
35,male,3,own,no_account,little,6190,12,car,good
30,male,3,rent,little,little,2535,15,education,good
18,male,2,own,quite rich,little,1452,12,car,bad
24,male,1,own,moderate,little,2551,15,radio/TV,good
64,male,3,own,little,little,7666,24,business,good
25,male,2,own,little,moderate,1184,12,car,bad
22,male,3,free,little,little,8092,36,car,good
19,male,1,own,no_account,little,3603,24,furniture/equipment,good
18,male,2,own,little,no_account,12558,36,car,bad
43,female,3,own,no_account,no_account,13004,30,car,bad
31,male,1,rent,moderate,moderate,2305,24,car,good
18,male,1,own,no_account,no_account,1093,6,car,good
18,male,2,own,little,no_account,1887,12,car,good
18,female,1,own,little,little,1969,24,car,bad
25,female,2,own,little,rich,2168,12,radio/TV,good
48,female,1,own,little,no_account,625,12,radio/TV,good
20,female,3,own,little,rich,8717,48,furniture/equipment,bad
26,male,2,own,little,little,5996,27,business,bad
33,male,3,own,little,moderate,25773,36,vacation/others,good
26,male,2,free,no_account,no_account,4692,24,car,good
18,female,3,rent,little,little,17924,24,car,bad
18,male,2,own,little,no_account,3221,24,furniture/equipment,good
18,male,1,own,quite rich,no_account,3765,27,radio/TV,bad
37,male,2,free,little,little,7868,24,radio/TV,good
53,male,2,own,no_account,no_account,11690,30,car,good
27,male,2,free,no_account,moderate,3210,12,radio/TV,good
18,male,1,rent,little,little,10504,18,car,good
27,female,2,own,little,no_account,3083,24,car,good
26,male,2,own,quite rich,little,3781,15,car,good
24,male,3,own,little,little,3119,12,car,good
18,male,2,own,no_account,moderate,3458,10,furniture/equipment,good
32,female,3,free,little,no_account,14194,27,business,bad
28,female,3,free,little,little,20557,18,car,bad
32,female,2,rent,rich,rich,627,12,radio/TV,good
37,male,2,free,little,moderate,3149,18,furniture/equipment,good
29,male,3,own,little,little,2506,12,car,good
20,male,3,own,little,moderate,5418,36,furniture/equipment,good
47,female,1,own,quite rich,little,1747,24,radio/TV,good
27,male,2,free,no_account,rich,17846,36,car,bad
18,male,2,own,little,no_account,6511,36,radio/TV,good
21,male,2,own,no_account,no_account,1352,24,furniture/equipment,good
18,female,1,own,little,little,1713,18,radio/TV,good
30,male,1,rent,quite rich,moderate,2887,10,car,good
18,female,2,rent,little,little,3874,15,car,good
18,male,3,free,little,little,2443,9,car,bad
22,male,2,own,no_account,little,10500,48,radio/TV,good
23,male,2,own,little,no_account,10034,24,radio/TV,good
18,female,2,free,little,little,8316,24,education,good
25,female,2,free,quite rich,moderate,8230,15,car,good
18,female,2,own,moderate,no_account,17594,60,radio/TV,good
57,female,2,own,little,little,5125,18,repairs,good
18,male,2,own,no_account,little,1668,24,radio/TV,good
24,female,3,own,little,little,2459,9,education,bad
19,female,2,rent,rich,no_account,11675,24,car,good
36,male,1,rent,no_account,moderate,999,7,radio/TV,good
44,female,2,rent,little,little,11977,36,car,good
20,male,3,own,little,moderate,2758,18,car,good
20,male,2,free,moderate,little,5025,24,furniture/equipment,good
18,male,2,own,little,moderate,2283,12,domestic appliances,good
23,male,2,own,little,moderate,9560,24,furniture/equipment,good
37,male,2,own,little,no_account,5344,18,furniture/equipment,good
40,male,2,own,no_account,no_account,2208,15,radio/TV,good
18,female,2,rent,little,moderate,1062,12,furniture/equipment,good
26,male,2,own,no_account,little,11025,30,radio/TV,good
18,female,2,own,no_account,little,1610,12,radio/TV,good
18,female,2,own,no_account,little,1727,12,repairs,good
23,male,2,own,rich,no_account,2557,6,furniture/equipment,good
31,male,1,own,little,no_account,1214,6,car,good
18,female,1,rent,moderate,no_account,2211,18,business,good
42,female,3,free,no_account,moderate,3194,12,car,good
19,female,0,own,no_account,little,5792,36,domestic appliances,good
34,male,2,own,little,no_account,2388,18,furniture/equipment,bad
37,male,1,own,little,little,3502,24,car,bad
26,male,3,rent,no_account,little,12008,20,car,good
25,male,1,own,rich,no_account,3037,18,business,good
33,male,1,own,little,rich,1834,12,car,good
21,female,1,own,little,no_account,2496,12,furniture/equipment,good
18,female,2,own,little,little,739,6,education,bad
29,male,1,own,little,no_account,5892,8,car,good
23,male,2,own,little,little,11651,18,radio/TV,good
18,male,2,own,little,moderate,2482,24,car,good
42,male,2,own,little,no_account,5127,12,radio/TV,good
18,male,1,own,little,little,901,12,radio/TV,good
21,male,2,free,little,little,7692,48,education,good
18,female,2,own,little,little,2380,9,business,good
29,male,1,own,little,rich,626,6,radio/TV,good
23,male,2,rent,little,no_account,1457,15,car,bad
36,male,3,own,no_account,no_account,3719,21,car,good
