Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
44,female,2,own,no_account,no_account,5943,24,radio/TV,bad
45,male,1,own,little,little,339,12,education,good
48,male,2,own,no_account,no_account,5190,27,repairs,good
26,male,2,rent,little,no_account,3518,6,car,good
24,female,0,rent,no_account,moderate,7472,12,car,good
29,male,2,own,little,moderate,1103,12,radio/TV,good
24,male,1,rent,little,no_account,1768,12,furniture/equipment,good
31,male,2,rent,little,little,2302,36,radio/TV,bad
33,female,1,own,no_account,no_account,797,12,radio/TV,bad
28,male,3,own,little,moderate,4249,30,car,bad
35,female,1,own,quite rich,no_account,3447,12,education,good
38,male,3,own,no_account,no_account,3229,18,car,good
23,female,1,own,little,moderate,3573,12,radio/TV,good
52,male,3,own,no_account,moderate,6468,12,radio/TV,bad
26,female,3,rent,no_account,no_account,5433,24,car,good
50,male,2,own,little,little,5293,27,business,bad
42,male,2,own,no_account,moderate,2427,18,business,good
25,female,2,rent,little,little,1433,15,furniture/equipment,good
26,male,2,own,little,moderate,907,8,business,good
23,female,2,rent,little,little,1442,24,car,bad
44,female,1,own,little,moderate,760,8,radio/TV,good
27,female,2,own,little,little,2389,18,radio/TV,good
42,female,2,own,little,moderate,3804,36,radio/TV,bad
47,male,1,own,little,little,1217,18,domestic appliances,bad
47,male,2,free,moderate,moderate,12612,36,education,bad
28,male,2,own,little,no_account,2284,24,radio/TV,good
40,male,0,free,no_account,moderate,5381,48,vacation/others,good
20,male,2,own,no_account,little,2996,24,furniture/equipment,bad
35,male,2,own,no_account,moderate,2728,15,radio/TV,good
61,male,2,own,rich,moderate,1512,15,repairs,bad
36,male,3,rent,moderate,moderate,6967,24,business,good
27,male,2,own,little,moderate,1391,9,business,good
43,male,1,own,little,no_account,7393,24,car,good
24,male,2,own,little,rich,5848,36,radio/TV,good
21,female,2,rent,little,no_account,2570,27,car,bad
36,male,2,rent,little,little,2799,9,car,good
30,female,2,own,little,no_account,8133,36,car,good
21,female,2,rent,no_account,no_account,1126,18,radio/TV,good
27,female,1,own,little,little,3643,15,furniture/equipment,good
49,male,1,own,no_account,rich,1445,18,radio/TV,good
32,male,2,own,rich,moderate,2745,21,furniture/equipment,good
27,male,2,own,little,no_account,3850,18,car,good
35,male,2,own,little,moderate,2576,7,radio/TV,good
48,male,2,own,little,little,1082,12,car,bad
