Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
31,male,2,own,little,rich,4473,36,radio/TV,good
46,male,2,own,little,no_account,1829,15,radio/TV,good
27,male,1,own,no_account,moderate,7418,60,radio/TV,good
27,female,2,own,little,no_account,1185,12,business,good
27,female,2,own,moderate,no_account,1237,6,radio/TV,good
36,male,1,own,little,moderate,4241,24,business,bad
35,male,3,rent,little,moderate,6948,36,car,good
24,male,2,own,little,little,2145,36,business,bad
30,male,2,own,little,no_account,4657,15,car,good
48,female,1,own,no_account,moderate,4351,24,furniture/equipment,good
30,male,2,own,little,moderate,639,12,repairs,bad
21,male,1,own,little,little,1289,12,furniture/equipment,good
54,female,3,rent,little,no_account,3568,15,radio/TV,good
23,male,1,own,little,moderate,1246,24,car,bad
28,female,3,rent,little,little,2606,21,radio/TV,good
28,male,1,own,little,no_account,2993,21,car,good
50,male,2,own,little,no_account,1574,12,furniture/equipment,good
47,female,2,free,moderate,rich,1377,24,radio/TV,good
27,male,2,own,little,no_account,8648,24,business,bad
56,male,2,free,little,rich,4796,42,car,good
61,female,2,own,no_account,no_account,2012,12,education,good
48,male,2,own,little,no_account,2134,9,car,good
33,male,2,own,moderate,no_account,1474,24,car,good
26,male,2,rent,no_account,no_account,2445,12,car,good
42,female,2,own,no_account,moderate,5084,24,radio/TV,good
47,male,1,own,quite rich,no_account,1316,15,radio/TV,good
27,female,2,rent,moderate,moderate,951,12,furniture/equipment,bad
51,male,2,free,little,rich,2892,24,furniture/equipment,good
27,female,2,own,little,little,343,6,domestic appliances,good
35,male,2,own,no_account,no_account,1979,15,radio/TV,good
61,male,1,own,rich,no_account,3059,12,radio/TV,good
55,female,0,free,little,little,1190,18,repairs,bad
38,male,2,own,no_account,moderate,754,12,education,good
39,male,1,rent,little,little,2122,12,car,good
36,male,3,own,little,no_account,3275,21,car,good
28,male,1,own,little,little,1797,13,business,good
25,female,2,rent,no_account,no_account,1283,22,car,good
35,male,3,own,little,moderate,1050,6,furniture/equipment,good
51,male,2,free,no_account,little,7511,18,car,bad
38,male,2,own,moderate,moderate,3512,24,car,good
36,male,2,free,no_account,no_account,700,6,radio/TV,good
23,male,2,own,little,moderate,882,13,radio/TV,good
31,male,2,own,little,no_account,1393,24,car,good
25,female,2,own,little,little,1835,21,radio/TV,bad
40,male,1,own,little,little,1361,6,car,good
29,female,3,own,little,no_account,2679,24,car,good
49,female,2,own,little,little,428,6,furniture/equipment,good
28,male,2,own,rich,little,2659,18,furniture/equipment,good
34,male,2,own,little,little,3965,42,radio/TV,bad
27,male,1,own,little,no_account,937,24,education,good
46,male,2,own,little,little,697,12,car,bad
